Country,Freedom To Make Life Choices,Generosity,Life Expectancy At Birth,Life Ladder,Negative Affect,Perceptions Of Corruption,Positive Affect,Social Support
Algeria,No Data,Data,Data,Data,Data,Data,Data,Data
Angola,Data,Data,Data,Data,Data,Data,No Data,No Data
Belize,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Bhutan,No Data,No Data,Data,No Data,No Data,Data,No Data,No Data
Burundi,Data,Data,Data,No Data,Data,Data,Data,Data
Canada,Data,Data,Data,Data,Data,Data,Data,No Data
China,Data,Data,Data,Data,Data,No Data,Data,Data
Comoros,No Data,Data,Data,No Data,Data,Data,Data,Data
Cuba,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Denmark,Data,Data,Data,Data,Data,Data,No Data,Data
Djibouti,No Data,Data,Data,Data,No Data,Data,Data,No Data
Ethiopia,No Data,Data,Data,Data,Data,Data,Data,Data
Gabon,No Data,Data,Data,Data,Data,Data,Data,Data
Guyana,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Lesotho,Data,Data,Data,Data,Data,Data,No Data,Data
Liberia,Data,Data,Data,No Data,Data,Data,Data,Data
Luxembourg,No Data,Data,Data,Data,Data,Data,Data,Data
Maldives,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Mongolia,No Data,Data,Data,Data,Data,Data,Data,Data
Mozambique,Data,No Data,Data,Data,Data,Data,No Data,Data
Myanmar,Data,Data,Data,No Data,Data,Data,Data,Data
New Zealand,Data,Data,Data,Data,Data,Data,Data,No Data
Nigeria,Data,Data,Data,No Data,Data,Data,Data,No Data
Norway,Data,Data,Data,Data,Data,Data,Data,No Data
Oman,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Qatar,Data,Data,Data,No Data,Data,No Data,No Data,Data
Saudi Arabia,Data,Data,Data,Data,Data,No Data,Data,Data
Somalia,No Data,Data,Data,Data,No Data,Data,Data,Data
South Sudan,Data,No Data,No Data,Data,Data,Data,No Data,No Data
Suriname,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Tajikistan,No Data,Data,Data,Data,Data,Data,Data,Data
Trinidad and Tobago,Data,Data,Data,No Data,No Data,Data,No Data,Data
Turkmenistan,Data,Data,Data,Data,Data,No Data,Data,Data
