Country Name,Life Expectancy At Birth,Life Ladder,Social Support,Freedom To Make Life Choices,Generosity,Perceptions Of Corruption,Positive Affect,Negative Affect,Continent
Afghanistan,2019,2010,2016,2008,2012,2017,2012,2021,Asia
Albania,2019,2011,2009,2021,2021,2019,2018,2015,Europe
Algeria,2022,2014,2020,2010,2019,2018,2022,2016,Africa
Angola,2014,2011,2014,2011,2011,2011,2011,2013,Africa
Argentina,2019,2011,2006,2015,2021,2009,2011,2021,South America
Armenia,2019,2019,2018,2019,2017,2016,2021,2022,Europe
Australia,2021,2010,2011,2011,2011,2022,2013,2014,Oceania
Austria,2019,2013,2019,2006,2006,2012,2015,2021,Europe
Azerbaijan,2022,2013,2019,2019,2022,2007,2019,2022,Europe
Bahrain,2019,2019,2012,2020,2017,2010,2017,2011,Asia
Bangladesh,2022,2020,2020,2019,2021,2007,2008,2021,Asia
Belarus,2019,2013,2016,2013,2014,2018,2014,2006,Europe
Belgium,2019,2007,2014,2007,2022,2012,2010,2016,Europe
Benin,2019,2018,2013,2013,2018,2013,2013,2018,Africa
Bhutan,2015,2013,2014,2014,2013,2013,2014,2014,Asia
Bolivia,2019,2009,2006,2015,2014,2020,2014,2017,South America
Bosnia and Herzegovina,2019,2019,2020,2021,2021,2014,2021,2010,Europe
Botswana,2017,2008,2006,2008,2014,2015,2012,2022,Africa
Brazil,2019,2013,2011,2012,2021,2017,2007,2021,South America
Bulgaria,2019,2020,2022,2021,2020,2007,2021,2013,Europe
Burkina Faso,2018,2018,2006,2020,2020,2008,2006,2020,Africa
Burundi,2018,2009,2014,2018,2009,2008,2018,2018,Africa
Cambodia,2019,2018,2009,2021,2011,2009,2020,2014,Asia
Cameroon,2019,2018,2014,2011,2020,2008,2013,2020,Africa
Canada,2019,2010,2010,2011,2013,2012,2007,2020,North America
Central African Republic,2017,2007,2007,2011,2007,2017,2017,2017,Africa
Chad,2019,2008,2011,2022,2022,2006,2009,2018,Africa
Chile,2017,2014,2021,2021,2007,2019,2014,2006,South America
China,2021,2021,2021,2019,2021,,2019,2020,Asia
Colombia,2019,2013,2012,2018,2012,2013,2012,2021,South America
Comoros,2019,2019,2011,2018,2018,2009,2018,2022,Africa
Costa Rica,2018,2009,2006,2018,2007,2011,2009,2020,North America
Croatia,2019,2020,2019,2021,2014,2011,2020,2007,Europe
Cyprus,2022,2009,2006,2006,2011,2016,2006,2013,Europe
Czechia,2018,2018,2020,2022,2021,2012,2020,2020,Europe
Denmark,2020,2008,2010,2008,2011,2008,2013,2009,Europe
Djibouti,2011,2008,2009,2008,2008,2009,2008,2009,Africa
Dominican Republic,2022,2021,2006,2014,2006,2009,2014,2008,North America
Ecuador,2022,2018,2006,2017,2016,2006,2014,2020,South America
El Salvador,2019,2009,2006,2020,2007,2006,2009,2012,North America
Estonia,2019,2021,2020,2020,2022,2006,2022,2009,Europe
Eswatini,2019,2011,2011,2018,2011,2011,2011,2022,Africa
Ethiopia,2019,2015,2020,2015,2022,2018,2014,2022,Africa
Finland,2019,2020,2022,2006,2015,2010,2016,2011,Europe
France,2019,2008,2019,2011,2006,2006,2014,2009,Europe
Gabon,2019,2022,2014,2011,2013,2017,2022,2017,Africa
Georgia,2017,2022,2022,2017,2015,2018,2020,2020,Europe
Germany,2019,2020,2011,2011,2015,2007,2018,2021,Europe
Ghana,2019,2011,2018,2007,2006,2015,2018,2016,Africa
Greece,2018,2007,2019,2019,2021,2009,2015,2013,Europe
Guatemala,2019,2018,2007,2017,2008,2011,2022,2012,North America
Guinea,2019,2022,2020,2011,2021,2013,2018,2022,Africa
Haiti,2018,2011,2012,2013,2018,2006,2015,2016,North America
Honduras,2019,2021,2006,2017,2007,2011,2006,2015,North America
Hungary,2019,2021,2021,2019,2022,2010,2021,2012,Europe
Iceland,2021,2012,2016,2019,2013,2012,2008,2015,Europe
India,2019,2006,2006,2020,2019,2011,2020,2019,Asia
Indonesia,2019,2014,2014,2022,2019,2013,2022,2020,Asia
Iraq,2018,2021,2009,2020,2022,2008,2020,2017,Asia
Ireland,2022,2008,2008,2011,2011,2010,2006,2020,Europe
Israel,2019,2022,2020,2019,2007,2009,2011,2013,Asia
Italy,2019,2008,2016,2010,2009,2008,2009,2018,Europe
Jamaica,2013,2019,2017,2019,2014,2006,2011,2013,North America
Japan,2020,2011,2007,2017,2011,2008,2010,2007,Asia
Jordan,2019,2009,2010,2010,2016,2009,2008,2022,Asia
Kazakhstan,2022,2019,2020,2022,2021,2008,2019,2006,Asia
Kenya,2019,2014,2006,2017,2021,2011,2014,2020,Africa
Kuwait,2022,2010,2009,2022,2022,2009,2012,2015,Asia
Latvia,2019,2021,2021,2020,2022,2009,2021,2007,Europe
Lebanon,2018,2016,2019,2010,2010,2010,2014,2021,Asia
Lesotho,2019,2011,2011,2017,2011,2019,2011,2022,Africa
Liberia,2019,2019,2010,2010,2022,2015,2017,2016,Africa
Libya,2018,2022,2016,2016,2022,2012,2015,2019,Africa
Lithuania,2019,2022,2020,2020,2021,2009,2021,2013,Europe
Luxembourg,2022,2019,2010,2011,2009,2009,2014,2009,Europe
Madagascar,2019,2008,2011,2016,2022,2011,2018,2017,Africa
Malawi,2019,2009,2009,2007,2007,2012,2012,2018,Africa
Malaysia,2022,2015,2007,2022,2013,2018,2011,2013,Asia
Mali,2019,2019,2014,2011,2009,2008,2010,2020,Africa
Malta,2019,2018,2013,2020,2009,2022,2022,2020,Europe
Mauritania,2019,2011,2015,2009,2010,2009,2015,2022,Africa
Mauritius,2017,2019,2019,2017,2011,2016,2014,2011,Africa
Mexico,2022,2013,2016,2019,2021,2016,2022,2021,North America
Moldova,2019,2015,2018,2020,2016,2016,2020,2012,Europe
Mongolia,2022,2020,2022,2007,2021,2008,2020,2020,Asia
Montenegro,2018,2020,2020,2020,2014,2016,2020,2009,Europe
Morocco,2022,2016,2011,2020,2010,2010,2013,2018,Africa
Mozambique,2019,2021,2006,2018,2015,2008,2017,2018,Africa
Myanmar,2022,2014,2020,2018,2014,2022,2015,2022,Asia
Namibia,2019,2022,2018,2014,2007,2019,2007,2017,Africa
Nepal,2022,2020,2006,2017,2007,2009,2008,2018,Asia
Netherlands,2019,2008,2010,2020,2008,2013,2014,2020,Europe
New Zealand,2022,2007,2015,2018,2014,2008,2006,2007,Oceania
Nicaragua,2022,2017,2012,2017,2007,2006,2013,2018,North America
Niger,2019,2018,2011,2009,2006,2016,2019,2018,Africa
Nigeria,2022,2020,2010,2017,2022,2022,2007,2020,Africa
North Macedonia,2018,2021,2016,2021,2021,2022,2016,2012,Europe
Norway,2020,2012,2018,2020,2015,2008,2016,2020,Europe
Pakistan,2019,2017,2017,2018,2010,2009,2007,2019,Asia
Panama,2018,2010,2006,2017,2007,2007,2013,2015,North America
Paraguay,2017,2022,2014,2022,2012,2007,2014,2006,South America
Peru,2019,2019,2006,2016,2010,2007,2019,2020,South America
Philippines,2022,2019,2015,2022,2008,2007,2022,2018,Asia
Poland,2019,2022,2010,2019,2021,2007,2012,2020,Europe
Portugal,2019,2021,2006,2020,2012,2011,2010,2020,Europe
Qatar,2015,2010,2009,2012,2009,2009,2012,2011,Asia
Romania,2019,2020,2020,2021,2010,2010,2021,2010,Europe
Rwanda,2019,2008,2013,2018,2019,2009,2018,2019,Africa
Saudi Arabia,2022,2007,2009,2021,2007,2008,2021,2015,Asia
Senegal,2019,2019,2014,2020,2022,2009,2020,2019,Africa
Serbia,2019,2022,2019,2021,2021,2011,2020,2009,Europe
Sierra Leone,2022,2015,2014,2011,2007,2008,2007,2022,Africa
Singapore,2019,2014,2016,2019,2007,2013,2014,2006,Asia
Slovenia,2019,2021,2021,2020,2022,2013,2015,2020,Europe
Somalia,2016,2014,2014,2015,2016,2014,2016,2014,Africa
South Africa,2019,2021,2021,2015,2020,2020,2021,2016,Africa
South Sudan,2015,2015,2015,2014,,2016,2016,2016,Africa
Spain,2019,2008,2007,2008,2022,2013,2007,2013,Europe
Sri Lanka,2022,2020,2006,2015,2015,2022,2015,2022,Asia
Sudan,2014,2012,2009,2009,2009,2014,2009,2014,Africa
Sweden,2019,2012,2010,2021,2022,2013,2012,2020,Europe
Switzerland,2019,2012,2014,2014,2006,2006,2015,2006,Europe
Tajikistan,2021,2017,2021,2014,2017,2009,2022,2020,Asia
Tanzania,2019,2008,2011,2022,2009,2008,2008,2020,Africa
Thailand,2022,2014,2014,2011,2014,2021,2015,2020,Asia
Togo,2021,2017,2021,2015,2019,2008,2021,2016,Africa
Trinidad and Tobago,2017,2008,2017,2017,2006,2008,2011,2013,North America
Tunisia,2019,2013,2010,2009,2009,2021,2010,2020,Africa
Turkmenistan,2019,2009,2018,2019,2019,,2009,2017,Asia
Uganda,2022,2019,2012,2014,2020,2014,2012,2022,Africa
Ukraine,2019,2021,2015,2022,2022,2007,2020,2022,Europe
United Arab Emirates,2019,2012,2010,2017,2017,2010,2016,2018,Asia
United Kingdom,2022,2018,2007,2013,2010,2010,2010,2022,Europe
United States,2014,2007,2006,2006,2013,2013,2014,2020,North America
Uruguay,2020,2022,2019,2015,2012,2018,2015,2006,South America
Uzbekistan,2022,2017,2015,2017,2015,2021,2015,2020,Asia
Zambia,2019,2009,2011,2022,2021,2007,2011,2019,Africa
Zimbabwe,2018,2012,2012,2018,2020,2008,2017,2020,Africa
