Country Name,Life Expectancy At Birth,Life Ladder,Social Support,Freedom To Make Life Choices,Generosity,Perceptions Of Corruption,Positive Affect,Negative Affect,Continent
Afghanistan,2008,2022,2022,2022,2017,2010,2021,2009,Asia
Albania,2021,2016,2014,2011,2011,2010,2007,2007,Europe
Algeria,2010,2019,2016,2019,2010,2022,2021,2014,Africa
Angola,2011,2014,2013,2014,2014,2013,2012,2012,Africa
Argentina,2007,2018,2007,2009,2019,2011,2020,2010,South America
Armenia,2006,2009,2010,2009,2007,2019,2011,2008,Europe
Australia,2007,2022,2021,2022,2019,2015,2018,2013,Oceania
Austria,2006,2014,2021,2021,2020,2019,2011,2011,Europe
Azerbaijan,2006,2010,2022,2009,2006,2019,2006,2019,Europe
Bahrain,2009,2011,2020,2012,2011,2012,2011,2016,Asia
Bangladesh,2007,2022,2022,2007,2014,2022,2022,2012,Asia
Belarus,2006,2016,2007,2017,2006,2019,2018,2012,Europe
Belgium,2008,2019,2019,2020,2019,2015,2020,2013,Europe
Benin,2006,2012,2022,2006,2011,2020,2006,2013,Africa
Bhutan,2013,2014,2013,2013,2014,2015,2013,2013,Asia
Bolivia,2021,2008,2017,2010,2017,2009,2017,2010,South America
Bosnia and Herzegovina,2022,2010,2015,2009,2010,2018,2010,2019,Europe
Botswana,2006,2022,2022,2022,2011,2006,2017,2011,Africa
Brazil,2007,2021,2021,2014,2017,2012,2020,2010,South America
Bulgaria,2021,2007,2013,2010,2011,2021,2011,2022,Europe
Burkina Faso,2006,2013,2021,2007,2011,2015,2012,2011,Africa
Burundi,2008,2014,2008,2008,2011,2018,2008,2009,Africa
Cambodia,2006,2006,2012,2007,2019,2011,2008,2009,Asia
Cameroon,2006,2006,2022,2008,2014,2019,2022,2014,Africa
Canada,2007,2022,2014,2022,2020,2017,2022,2008,North America
Central African Republic,2007,2016,2016,2016,2010,2007,2010,2010,Africa
Chad,2006,2006,2007,2007,2014,2018,2013,2009,Africa
Chile,2007,2007,2008,2008,2019,2006,2008,2021,South America
China,2006,2009,2016,2009,2015,,2006,2014,Asia
Colombia,2021,2021,2021,2009,2019,2008,2021,2010,South America
Comoros,2009,2009,2022,2022,2012,2012,2022,2009,Africa
Costa Rica,2021,2020,2020,2016,2019,2017,2020,2009,North America
Croatia,2007,2015,2014,2011,2009,2015,2019,2010,Europe
Cyprus,2006,2013,2013,2015,2020,2006,2016,2006,Europe
Czechia,2007,2010,2014,2013,2018,2022,2011,2018,Europe
Denmark,2007,2014,2009,2013,2018,2018,2020,2010,Europe
Djibouti,2008,2011,2011,2009,2011,2011,2011,2008,Africa
Dominican Republic,2006,2010,2020,2010,2018,2020,2008,2007,North America
Ecuador,2020,2007,2009,2008,2013,2013,2021,2010,South America
El Salvador,2021,2011,2020,2008,2014,2020,2016,2007,North America
Estonia,2006,2009,2009,2009,2006,2022,2006,2019,Europe
Eswatini,2011,2022,2022,2022,2019,2018,2022,2011,Africa
Ethiopia,2012,2022,2013,2022,2012,2015,2017,2012,Africa
Finland,2006,2011,2012,2010,2018,2006,2006,2008,Europe
France,2006,2009,2022,2016,2020,2022,2021,2013,Europe
Gabon,2011,2013,2011,2020,2017,2021,2012,2011,Africa
Georgia,2008,2006,2011,2007,2021,2012,2007,2013,Europe
Germany,2007,2007,2021,2008,2020,2015,2007,2011,Europe
Ghana,2006,2014,2008,2014,2013,2007,2021,2012,Africa
Greece,2007,2013,2013,2014,2018,2021,2017,2022,Europe
Guatemala,2022,2011,2011,2007,2019,2006,2006,2007,North America
Guinea,2011,2014,2012,2020,2016,2014,2013,2011,Africa
Haiti,2010,2016,2018,2016,2010,2017,2010,2011,North America
Honduras,2021,2012,2022,2015,2015,2017,2007,2006,North America
Hungary,2007,2012,2014,2009,2018,2021,2010,2019,Europe
Iceland,2008,2008,2013,2008,2020,2015,2022,2017,Europe
India,2006,2019,2012,2012,2008,2019,2011,2006,Asia
Indonesia,2021,2008,2008,2008,2008,2021,2008,2009,Asia
Iraq,2008,2016,2015,2012,2009,2013,2012,2009,Asia
Ireland,2006,2013,2021,2009,2020,2017,2012,2008,Europe
Israel,2007,2007,2008,2010,2020,2022,2021,2022,Asia
Italy,2007,2012,2019,2013,2020,2022,2010,2010,Europe
Jamaica,2021,2014,2011,2021,2020,2020,2021,2019,North America
Japan,2007,2018,2019,2009,2018,2020,2018,2022,Asia
Jordan,2007,2021,2021,2007,2018,2021,2012,2007,Asia
Kazakhstan,2006,2009,2014,2008,2006,2020,2007,2021,Asia
