Country Name,Life Expectancy At Birth,Life Ladder,Social Support,Freedom To Make Life Choices,Generosity,Perceptions Of Corruption,Positive Affect,Negative Affect
Afghanistan,63.565,4.758,0.559,0.718,0.234,0.954,0.614,0.607
Albania,79.282,5.867,0.833,0.827,0.039,0.914,0.592,0.35
Algeria,77.129,6.355,0.868,0.593,-0.002,0.759,0.583,0.377
Angola,60.04,5.589,0.755,0.584,0.05,0.911,0.667,0.371
Argentina,77.284,6.776,0.938,0.881,-0.014,0.885,0.769,0.345
Armenia,75.439,5.488,0.814,0.844,-0.155,0.921,0.566,0.549
Australia,83.3,7.45,0.967,0.945,0.364,0.545,0.77,0.245
Austria,81.89512195,7.499,0.964,0.941,0.297,0.771,0.748,0.259
Azerbaijan,73.488,5.481,0.887,0.854,0.075,0.871,0.577,0.401
Bahrain,80.019,7.098,0.911,0.945,0.128,0.715,0.754,0.514
Bangladesh,73.698,5.28,0.739,0.902,0.089,0.806,0.545,0.448
Belarus,74.22682927,5.876,0.927,0.723,-0.054,0.718,0.575,0.269
Belgium,81.99512195,7.219,0.944,0.901,0.095,0.758,0.793,0.26
Benin,60.454,5.82,0.577,0.783,0.0,0.856,0.646,0.468
Bhutan,70.343,5.569,0.88,0.834,0.349,0.802,0.775,0.324
Bolivia,67.841,6.086,0.834,0.884,0.014,0.868,0.769,0.434
Bosnia and Herzegovina,77.241,6.016,0.899,0.759,0.274,0.976,0.604,0.409
Botswana,66.753,5.451,0.883,0.858,-0.099,0.86,0.695,0.287
Brazil,75.338,7.14,0.916,0.849,0.086,0.794,0.775,0.407
Bulgaria,75.11219512,5.598,0.953,0.841,-0.012,0.976,0.647,0.278
Burkina Faso,60.047,4.927,0.796,0.75,0.12,0.887,0.678,0.388
Burundi,61.688,3.792,0.565,0.646,-0.021,0.86,0.636,0.363
Cambodia,70.692,5.122,0.818,0.965,0.413,0.965,0.771,0.482
Cameroon,61.584,5.251,0.778,0.817,0.042,0.945,0.64,0.386
Canada,82.22390244,7.65,0.954,0.951,0.31,0.466,0.812,0.307
Central African Republic,53.721,4.16,0.532,0.78,0.079,0.89,0.602,0.599
Chad,53.259,4.632,0.819,0.679,0.218,0.961,0.601,0.544
Chile,80.35,6.844,0.891,0.803,0.236,0.86,0.8,0.348
China,78.211,5.863,0.856,0.927,0.02,,0.76,0.245
Colombia,76.752,6.607,0.914,0.851,-0.015,0.898,0.829,0.348
Comoros,64.068,4.609,0.722,0.56,0.075,0.838,0.688,0.352
Costa Rica,79.484,7.615,0.937,0.942,0.089,0.837,0.84,0.35
Croatia,78.42439024,6.508,0.936,0.842,0.125,0.977,0.681,0.337
Cyprus,81.889,6.833,0.878,0.836,0.173,0.898,0.704,0.42
Czechia,79.02926829,7.034,0.964,0.908,0.157,0.957,0.748,0.29
Denmark,81.60243902,7.971,0.975,0.97,0.292,0.248,0.826,0.234
Djibouti,60.433,5.009,0.901,0.773,0.123,0.634,0.74,0.232
Dominican Republic,74.17,6.031,0.919,0.905,0.033,0.806,0.772,0.329
Ecuador,77.894,6.128,0.91,0.879,-0.021,0.901,0.841,0.416
El Salvador,72.559,6.839,0.878,0.924,-0.021,0.807,0.841,0.365
Estonia,78.64634146,6.554,0.958,0.954,0.136,0.797,0.767,0.243
Eswatini,60.549,4.867,0.837,0.71,-0.069,0.917,0.756,0.394
Ethiopia,65.838,4.573,0.823,0.803,0.357,0.799,0.644,0.335
Finland,81.98292683,7.889,0.974,0.969,0.105,0.413,0.769,0.205
France,82.82682927,7.008,0.958,0.903,0.12,0.699,0.759,0.303
Gabon,66.603,5.14,0.829,0.772,-0.148,0.868,0.661,0.446
Georgia,73.57,5.293,0.754,0.821,-0.21,0.755,0.573,0.295
