Country Name,Life Expectancy At Birth,Life Ladder,Social Support,Freedom To Make Life Choices,Generosity,Perceptions Of Corruption,Positive Affect,Negative Affect
Afghanistan,59.852,1.281,0.228,0.368,-0.123,0.707,0.179,0.237
Albania,76.463,4.511,0.626,0.487,-0.209,0.726,0.489,0.246
Algeria,73.808,4.745,0.749,0.385,-0.212,0.611,0.498,0.177
Angola,57.596,3.795,0.722,0.375,-0.173,0.816,0.591,0.305
Argentina,75.006,5.793,0.862,0.637,-0.217,0.755,0.679,0.211
Armenia,71.987,4.178,0.66,0.441,-0.255,0.583,0.411,0.385
Australia,81.29268293,7.035,0.92,0.854,0.115,0.357,0.706,0.177
Austria,79.8804878,6.95,0.863,0.795,0.004,0.457,0.672,0.145
Azerbaijan,68.165,4.219,0.665,0.498,-0.239,0.457,0.469,0.164
Bahrain,78.461,4.824,0.848,0.682,-0.061,0.438,0.506,0.283
Bangladesh,66.714,3.408,0.404,0.605,-0.115,0.617,0.394,0.183
Belarus,69.40487805,5.178,0.858,0.621,-0.252,0.546,0.409,0.181
Belgium,79.6804878,6.772,0.884,0.767,-0.178,0.469,0.619,0.217
Benin,57.456,3.193,0.366,0.58,-0.145,0.532,0.521,0.216
Bhutan,69.707,4.939,0.819,0.81,0.264,0.634,0.664,0.217
Bolivia,63.63,5.298,0.779,0.703,-0.124,0.763,0.655,0.35
Bosnia and Herzegovina,75.293,4.669,0.656,0.258,-0.131,0.913,0.465,0.238
Botswana,53.918,3.435,0.75,0.739,-0.248,0.723,0.612,0.16
Brazil,72.365,6.01,0.814,0.714,-0.181,0.623,0.653,0.25
Bulgaria,71.46341463,3.844,0.829,0.545,-0.236,0.891,0.49,0.165
Burkina Faso,53.742,3.326,0.658,0.582,-0.107,0.693,0.487,0.205
Burundi,55.71,2.905,0.291,0.26,-0.063,0.599,0.415,0.164
Cambodia,65.059,3.569,0.606,0.819,0.007,0.775,0.6,0.188
Cameroon,54.856,3.851,0.629,0.58,-0.08,0.817,0.586,0.216
Canada,80.54365854,6.918,0.918,0.838,0.043,0.362,0.719,0.202
Central African Republic,47.426,2.693,0.29,0.624,-0.037,0.782,0.478,0.257
Chad,48.286,3.435,0.479,0.295,-0.075,0.763,0.437,0.221
Chile,77.826,5.698,0.804,0.64,-0.11,0.634,0.706,0.221
China,74.504,4.454,0.742,0.771,-0.25,,0.658,0.112
Colombia,72.83,5.29,0.793,0.757,-0.177,0.763,0.752,0.265
Comoros,60.831,3.476,0.472,0.481,-0.13,0.651,0.603,0.167
Costa Rica,77.023,6.338,0.834,0.873,-0.156,0.742,0.759,0.217
Croatia,75.70560976,5.205,0.646,0.517,-0.278,0.849,0.504,0.259
Cyprus,78.371,5.439,0.744,0.628,-0.086,0.712,0.631,0.253
Czechia,76.72439024,6.25,0.878,0.726,-0.299,0.831,0.623,0.178
Denmark,78.19512195,7.508,0.939,0.92,0.012,0.151,0.753,0.155
Djibouti,59.365,4.369,0.633,0.649,-0.082,0.519,0.543,0.12
Dominican Republic,71.165,4.735,0.806,0.824,-0.155,0.636,0.654,0.26
Ecuador,72.153,4.996,0.779,0.64,-0.196,0.646,0.742,0.22
El Salvador,70.748,4.741,0.696,0.636,-0.201,0.583,0.742,0.22
Estonia,72.69146341,5.138,0.874,0.611,-0.27,0.39,0.589,0.156
Eswatini,48.195,3.502,0.712,0.539,-0.195,0.692,0.661,0.251
Ethiopia,61.543,3.628,0.602,0.674,-0.047,0.567,0.514,0.137
Finland,79.21463415,7.354,0.928,0.916,-0.133,0.132,0.683,0.144
France,80.81219512,6.283,0.866,0.787,-0.176,0.533,0.685,0.205
Gabon,64.045,3.8,0.653,0.528,-0.231,0.766,0.504,0.264
Georgia,71.332,3.675,0.503,0.464,-0.29,0.321,0.351,0.2
Germany,79.53414634,6.417,0.868,0.766,-0.068,0.412,0.647,0.165
Ghana,59.988,3.86,0.622,0.677,-0.07,0.771,0.588,0.152
Greece,79.43902439,4.72,0.687,0.369,-0.34,0.752,0.516,0.183
Guatemala,68.674,5.743,0.768,0.628,-0.068,0.706,0.789,0.224
Guinea,57.019,3.412,0.542,0.598,-0.06,0.705,0.606,0.26
Haiti,46.019,3.352,0.538,0.304,0.167,0.647,0.495,0.245
Honduras,70.123,4.602,0.729,0.534,-0.101,0.783,0.712,0.155
Hungary,73.15121951,4.683,0.845,0.464,-0.249,0.832,0.574,0.18
Iceland,81.6097561,6.888,0.967,0.885,0.152,0.639,0.768,0.148
India,65.412,3.249,0.511,0.609,-0.077,0.752,0.48,0.199
Indonesia,67.57,4.815,0.675,0.596,0.16,0.845,0.675,0.193
Iraq,64.942,4.413,0.684,0.315,-0.198,0.71,0.41,0.404
Ireland,79.24146341,6.76,0.85,0.835,0.0,0.337,0.721,0.148
Israel,80.50487805,6.841,0.859,0.561,-0.059,0.655,0.558,0.183
Italy,81.43414634,5.839,0.838,0.499,-0.157,0.819,0.535,0.236
Jamaica,70.5,5.311,0.855,0.731,-0.152,0.836,0.689,0.195
Japan,82.50707317,5.794,0.878,0.73,-0.268,0.609,0.649,0.165
Jordan,73.373,3.909,0.703,0.646,-0.189,0.656,0.469,0.24
Kazakhstan,66.15,5.383,0.795,0.727,-0.28,0.661,0.557,0.122
Kenya,58.222,3.795,0.674,0.584,-0.034,0.794,0.657,0.123
Kuwait,76.887,5.947,0.823,0.703,-0.242,0.328,0.643,0.095
Latvia,70.86585366,4.667,0.807,0.437,-0.236,0.789,0.521,0.161
Lebanon,74.416,2.179,0.507,0.423,-0.164,0.853,0.263,0.243
Lesotho,46.692,3.186,0.68,0.618,-0.144,0.743,0.685,0.17
Liberia,58.285,2.702,0.594,0.59,-0.067,0.776,0.519,0.217
Libya,71.698,5.33,0.813,0.712,-0.146,0.646,0.627,0.316
Lithuania,70.9,5.066,0.882,0.496,-0.309,0.685,0.463,0.132
Luxembourg,80.63170732,6.702,0.875,0.79,-0.065,0.301,0.601,0.17
Madagascar,61.315,3.551,0.626,0.332,-0.103,0.72,0.516,0.161
Malawi,53.238,3.335,0.494,0.637,-0.027,0.676,0.517,0.13
Malaysia,74.164,5.339,0.77,0.675,-0.021,0.74,0.664,0.155
Mali,54.615,3.676,0.568,0.495,-0.103,0.658,0.64,0.109
Malta,80.24146341,5.774,0.897,0.802,-0.005,0.595,0.576,0.296
Mauritania,62.228,3.923,0.648,0.447,-0.181,0.586,0.631,0.129
Mauritius,73.26682927,5.477,0.785,0.798,-0.081,0.769,0.653,0.136
Mexico,70.133,5.964,0.759,0.67,-0.208,0.615,0.7,0.196
Moldova,68.479,4.775,0.803,0.551,-0.19,0.875,0.519,0.255
Mongolia,65.97,4.493,0.881,0.484,0.048,0.843,0.483,0.15
Montenegro,74.33902439,4.801,0.704,0.462,-0.232,0.693,0.468,0.317
Morocco,70.829,4.383,0.505,0.572,-0.257,0.717,0.501,0.187
Mozambique,51.961,4.28,0.664,0.514,-0.035,0.627,0.56,0.24
Myanmar,64.141,4.154,0.612,0.631,0.468,0.592,0.574,0.112
Namibia,53.68,4.436,0.741,0.659,-0.198,0.79,0.644,0.16
Nepal,65.868,3.809,0.699,0.413,-0.024,0.712,0.414,0.152
Netherlands,80.09756098,7.314,0.879,0.856,0.145,0.281,0.679,0.181
New Zealand,80.04878049,6.975,0.93,0.831,0.113,0.186,0.706,0.151
Nicaragua,68.725,4.46,0.8,0.717,-0.024,0.57,0.74,0.255
Niger,54.596,3.671,0.582,0.584,-0.082,0.483,0.582,0.115
Nigeria,49.73,4.266,0.663,0.537,-0.04,0.835,0.652,0.141
North Macedonia,73.24634146,4.18,0.687,0.439,-0.094,0.824,0.447,0.251
Norway,80.34390244,7.29,0.927,0.936,0.01,0.25,0.759,0.155
Pakistan,63.852,4.414,0.373,0.335,0.0,0.677,0.469,0.274
Panama,76.012,5.979,0.873,0.64,-0.208,0.796,0.776,0.144
Paraguay,70.262,4.73,0.863,0.649,-0.082,0.756,0.752,0.176
Peru,72.377,4.811,0.749,0.638,-0.184,0.824,0.675,0.319
Philippines,69.266,4.589,0.775,0.828,-0.155,0.711,0.736,0.29
