Country Name,Year,Freedom To Make Life Choices
Bosnia and Herzegovina,2009,0.258
Burundi,2008,0.26
Togo,2008,0.287
Chad,2007,0.295
Haiti,2016,0.304
Chad,2006,0.306
Iraq,2012,0.315
Bosnia and Herzegovina,2006,0.329
Bosnia and Herzegovina,2008,0.329
Madagascar,2008,0.332
Bosnia and Herzegovina,2011,0.333
Burundi,2006,0.333
Burundi,2007,0.333
Pakistan,2008,0.335
Bosnia and Herzegovina,2007,0.342
Zimbabwe,2008,0.344
Iraq,2011,0.347
Pakistan,2010,0.364
Bosnia and Herzegovina,2010,0.365
Pakistan,2012,0.367
Afghanistan,2022,0.368
Greece,2014,0.369
Greece,2012,0.373
Haiti,2010,0.373
Serbia,2009,0.373
Afghanistan,2018,0.374
Angola,2014,0.375
Pakistan,2011,0.376
Pakistan,2006,0.38
Algeria,2019,0.385
Iraq,2008,0.386
Pakistan,2009,0.388
Afghanistan,2015,0.389
Angola,2015,0.39
Angola,2016,0.39
Angola,2017,0.39
Angola,2018,0.39
Angola,2019,0.39
Angola,2020,0.39
Angola,2021,0.39
Angola,2022,0.39
Bosnia and Herzegovina,2013,0.39
Sudan,2014,0.39
Afghanistan,2020,0.392
Afghanistan,2019,0.394
Afghanistan,2021,0.394
Togo,2009,0.394
Pakistan,2007,0.396
Haiti,2015,0.398
Madagascar,2006,0.4
