Country Name,Year,Social Support
Afghanistan,2022,0.228
Central African Republic,2016,0.29
Burundi,2008,0.291
Togo,2008,0.291
Togo,2011,0.303
Central African Republic,2015,0.305
Burundi,2006,0.308
Burundi,2007,0.308
Togo,2009,0.313
Central African Republic,2018,0.315
Central African Republic,2019,0.315
Central African Republic,2020,0.315
Central African Republic,2021,0.315
Central African Republic,2022,0.315
Central African Republic,2014,0.318
Togo,2010,0.318
Central African Republic,2017,0.32
Burundi,2009,0.326
Burundi,2010,0.347
Togo,2012,0.351
Benin,2022,0.366
Pakistan,2008,0.373
Benin,2008,0.382
Togo,2007,0.386
Central African Republic,2011,0.387
Central African Republic,2012,0.402
Central African Republic,2013,0.402
Bangladesh,2022,0.404
Togo,2013,0.414
Afghanistan,2019,0.42
Burundi,2011,0.422
Benin,2009,0.428
Afghanistan,2020,0.43
Benin,2015,0.434
Togo,2006,0.435
Benin,2017,0.436
Benin,2021,0.436
Benin,2007,0.442
Benin,2019,0.442
Togo,2014,0.444
Benin,2006,0.445
Afghanistan,2008,0.451
Burundi,2012,0.452
Afghanistan,2021,0.454
Bangladesh,2008,0.467
Pakistan,2006,0.467
Benin,2010,0.468
Comoros,2022,0.472
Benin,2011,0.477
Chad,2007,0.479
