Country Name,Year,Life Expectancy At Birth,Life Ladder,Social Support,Freedom To Make Life Choices,Generosity,Perceptions Of Corruption,Positive Affect,Negative Affect,Continent,Score
Switzerland,2007,81.746,7.513,0.947,0.915,0.218,0.298,0.747,0.206,Europe,1.0
Iceland,2007,81.988,7.139,0.977,0.896,0.26,0.696,0.837,0.155,Europe,0.9998671155209073
Australia,2007,81.29268293,7.285,0.965,0.891,0.342,0.513,0.762,0.215,Oceania,0.9856455953716823
Japan,2007,82.50707317,6.238,0.938,0.796,-0.097,0.809,0.683,0.207,Asia,0.9848824998523507
Canada,2007,80.54365854,7.482,0.94,0.93,0.244,0.406,0.812,0.257,North America,0.971406669324356
Sweden,2007,80.9,7.241,0.917,0.91,0.141,0.289,0.735,0.177,Europe,0.9710804000314984
Norway,2007,80.515,7.494,0.952,0.956,0.095,0.335,0.771,0.187,Europe,0.9688065989447988
Italy,2007,81.43414634,6.574,0.912,0.684,0.108,0.922,0.65,0.303,Europe,0.9681113261871012
New Zealand,2007,80.15121951,7.604,0.967,0.878,0.272,0.295,0.803,0.238,Oceania,0.9640527676884009
Spain,2007,80.87317073,6.995,0.957,0.782,-0.099,0.784,0.717,0.264,Europe,0.9638251715194114
Luxembourg,2007,80.747,7.001,0.941,0.932,0.104,0.374,0.716,0.231,Europe,0.9619950389794473
Netherlands,2007,80.09756098,7.452,0.944,0.896,0.339,0.445,0.718,0.213,Europe,0.9593806840105517
France,2007,81.008,6.639,0.937,0.8,0.052,0.619,0.697,0.289,Europe,0.9589633041971803
Israel,2007,80.50487805,6.841,0.868,0.683,0.215,0.868,0.642,0.32,Asia,0.952163508199464
Austria,2007,80.069,7.159,0.933,0.925,0.277,0.563,0.732,0.172,Europe,0.9515513032522249
Singapore,2007,80.44146341,6.834,0.921,0.867,0.287,0.064,0.588,0.114,Asia,0.9479699043723917
Belgium,2007,79.78292683,7.219,0.922,0.901,0.064,0.721,0.744,0.218,Europe,0.9446690396389473
Finland,2007,79.4,7.649,0.961,0.956,0.004,0.241,0.693,0.168,Europe,0.9430516182376565
Ireland,2007,79.585,7.221,0.97,0.924,0.27,0.452,0.785,0.199,Europe,0.9415603590833929
Malta,2007,80.505,6.174,0.917,0.814,0.385,0.688,0.627,0.362,Europe,0.938371131585164
