Country Name,Year,Life Expectancy At Birth,Life Ladder,Social Support,Freedom To Make Life Choices,Generosity,Perceptions Of Corruption,Positive Affect,Negative Affect,Continent,Score
Switzerland,2011,82.566,7.71,0.945,0.93,0.123,0.298,0.779,0.183,Europe,1.0
Iceland,2011,82.614,7.508,0.977,0.909,0.253,0.696,0.815,0.157,Europe,0.9997735705353514
Australia,2011,81.89512195,7.406,0.967,0.945,0.364,0.382,0.724,0.195,Oceania,0.9777049817055286
Sweden,2011,81.80243902,7.382,0.921,0.941,0.156,0.269,0.762,0.179,Europe,0.9717745127906912
Israel,2011,81.65609756,7.433,0.893,0.722,0.136,0.891,0.654,0.384,Asia,0.9697175693826197
France,2011,82.11463415,6.959,0.921,0.903,-0.108,0.627,0.718,0.281,Europe,0.9677295338640701
Canada,2011,81.48268293,7.426,0.922,0.951,0.247,0.433,0.803,0.248,North America,0.9673499758132159
Norway,2011,81.322,7.649,0.943,0.948,0.118,0.335,0.792,0.202,Europe,0.9669567365338796
Spain,2011,82.47560976,6.518,0.944,0.819,-0.128,0.846,0.667,0.356,Europe,0.9658248403414972
Netherlands,2011,81.20487805,7.564,0.938,0.925,0.33,0.359,0.77,0.181,Europe,0.9634387958583998
Japan,2011,82.59121951,6.263,0.917,0.814,-0.059,0.734,0.714,0.181,Asia,0.961625853870657
Austria,2011,80.98292683,7.471,0.944,0.939,0.126,0.703,0.672,0.145,Europe,0.954017497594187
New Zealand,2011,81.15609756,7.191,0.954,0.935,0.278,0.269,0.784,0.21,Oceania,0.9521487013755588
Italy,2011,82.18780488,6.057,0.913,0.568,-0.023,0.933,0.61,0.266,Europe,0.9441338012875601
Luxembourg,2011,80.98780488,7.101,0.934,0.962,0.097,0.388,0.744,0.2,Europe,0.9438610567051424
Ireland,2011,80.74634146,7.007,0.977,0.952,0.376,0.59,0.786,0.19,Europe,0.9398608863684315
Singapore,2011,81.74390244,6.561,0.904,0.822,-0.155,0.099,0.404,0.144,Asia,0.9398032749934391
United Kingdom,2011,80.95121951,6.869,0.949,0.9,0.331,0.438,0.742,0.174,Europe,0.9389777612815908
Finland,2011,80.47073171,7.354,0.938,0.936,0.095,0.32,0.709,0.205,Europe,0.9361348415765662
Belgium,2011,80.58536585,7.111,0.937,0.88,-0.02,0.711,0.752,0.225,Europe,0.9336192652878486
