Country Name,Year,Negative Affect
Afghanistan,2021,0.607
Central African Republic,2017,0.599
Iraq,2017,0.591
Iraq,2015,0.581
Afghanistan,2022,0.576
Iraq,2016,0.57
Lebanon,2021,0.569
Iraq,2014,0.564
Iraq,2011,0.557
Iraq,2013,0.554
Armenia,2022,0.549
South Sudan,2016,0.549
Chad,2018,0.544
Central African Republic,2018,0.542
Central African Republic,2019,0.542
Central African Republic,2020,0.542
Central African Republic,2021,0.542
Central African Republic,2022,0.542
Chad,2017,0.538
Iraq,2020,0.532
Afghanistan,2020,0.52
South Sudan,2017,0.517
South Sudan,2018,0.517
South Sudan,2019,0.517
South Sudan,2020,0.517
South Sudan,2021,0.517
South Sudan,2022,0.517
Bahrain,2011,0.514
Liberia,2016,0.509
Iraq,2019,0.505
Sierra Leone,2022,0.505
Niger,2018,0.503
Afghanistan,2019,0.502
Chad,2022,0.499
Iraq,2022,0.499
Sierra Leone,2017,0.495
Central African Republic,2015,0.494
Central African Republic,2016,0.494
Lebanon,2019,0.494
Chad,2021,0.493
Guinea,2022,0.492
Chad,2020,0.486
Togo,2016,0.483
Cambodia,2014,0.482
Greece,2013,0.482
Iraq,2018,0.482
Lebanon,2020,0.482
Peru,2020,0.481
Armenia,2021,0.478
Iraq,2021,0.474
